name,level,class,school,range
Acid Arrow,2,Wizard,Evocation,90 feet
Acid Splash,0,"Sorcerer,Wizard",Conjuration,60 feet
Aid,2,"Cleric,Paladin",Abjuration,30 feet
Alarm,1,"Ranger,Wizard",Abjuration,30 feet
Alter Self,2,"Sorcerer,Wizard",Transmutation,Self
Animal Friendship,1,"Bard,Druid,Ranger",Enchantment,30 feet
Animal Messenger,2,"Bard,Druid,Ranger",Enchantment,30 feet
Animal Shapes,8,Druid,Transmutation,30 feet
Animate Dead,3,"Cleric,Wizard",Necromancy,10 feet
Animate Objects,5,"Bard,Sorcerer,Wizard",Transmutation,120 feet
Antilife Shell,5,Druid,Abjuration,Self
Antimagic Field,8,"Cleric,Wizard",Abjuration,Self
Antipathy/Sympathy,8,"Druid,Wizard",Enchantment,60 feet
Arcane Eye,4,"Cleric,Wizard",Divination,30 feet
Arcane Hand,5,Wizard,Evocation,120 feet
Arcane Lock,2,Wizard,Abjuration,Touch
Arcane Sword,7,"Bard,Wizard",Evocation,60 feet
Arcanist's Magic Aura,2,Wizard,Illusion,Touch
Astral Projection,9,"cleric,warlock,wizard",Necromancy,10 feet
Augury,2,Cleric,Divination,Self
Awaken,5,"Bard,Druid",Transmutation,Touch
Bane,1,"Bard,Cleric",Enchantment,30 feet
Banishment,4,"Cleric,Paladin,Sorcerer,Warlock,Wizard",Abjuration,60 feet
Barkskin,2,"Druid,Ranger",Transmutation,Touch
Beacon of Hope,3,Cleric,Abjuration,30 feet
Bestow Curse,3,"Bard,Cleric,Wizard",Necromancy,Touch
Black Tentacles,4,Wizard,Conjuration,90 feet
Blade Barrier,6,Cleric,Evocation,90 feet
Bless,1,"Cleric,Paladin",Enchantment,30 feet
Blight,4,"Druid,Sorcerer,Warlock,Wizard",Necromancy,30 feet
Blindness/Deafness,2,"Bard,Cleric,Sorcerer,Wizard",Necromancy,30 feet
Blink,3,"Sorcerer,Wizard",Transmutation,Self
Blur,2,"Sorcerer,Wizard",Illusion,Self
Branding Smite,2,Paladin,Evocation,Self
Burning Hands,1,"Sorcerer,Wizard",Evocation,Self
Call Lightning,3,Druid,Conjuration,120 feet
Calm Emotions,2,"Bard,Cleric",Enchantment,60 feet
Chain Lightning,6,"Sorcerer,Wizard",Evocation,150 feet
Charm Person,1,"Bard,Druid,Sorcerer,Warlock,Wizard",Enchantment,30 feet
Chill Touch,0,"Sorcerer,Warlock,Wizard",Necromancy,120 feet
Circle of Death,6,"Sorcerer,Warlock,Wizard",Necromancy,150 feet
Clairvoyance,3,"Bard,Cleric,Sorcerer,Wizard",Divination,1 mile
Clone,8,Wizard,Necromancy,Touch
Cloudkill,5,"Sorcerer,Wizard",Conjuration,120 feet
Color Spray,1,"Sorcerer,Wizard",Illusion,Self
Command,1,"Cleric,Paladin",Enchantment,60 feet
Commune,5,Cleric,Divination,Self
Commune With Nature,5,"Druid,Ranger",Divination,Self
Comprehend Languages,1,"Bard,Sorcerer,Warlock,Wizard",Divination,Self
Compulsion,4,Bard,Enchantment,30 feet
Cone of Cold,5,"Sorcerer,Wizard",Evocation,Self
Confusion,4,"Bard,Druid,Sorcerer,Wizard",Enchantment,90 feet
Conjure Animals,3,"Druid,Ranger",Conjuration,60 feet
Conjure Celestial,7,Cleric,Conjuration,90 feet
Conjure Elemental,5,"Druid,Wizard",Conjuration,90 feet
Conjure Fey,6,"Druid,Warlock",Conjuration,90 feet
Conjure Minor Elementals,4,"Druid,Wizard",Conjuration,90 feet
Conjure Woodland Beings,4,"Druid,Ranger",Conjuration,60 feet
Contact Other Plane,5,"Warlock,Wizard",Divination,Self
Contagion,5,"Cleric,Druid",Necromancy,Touch
Contingency,6,Wizard,Evocation,Self
